meme_id,image_path,blip_caption
110001,training/memes/110001.jpeg,two posters with different characters of albert einstein and the same person
110002,training/memes/110002.jpeg,a group of men in suits and ties standing next to each other
110003,training/memes/110003.jpeg,a close up of a person holding a microphone in front of a poster
110004,training/memes/110004.jpeg,a map of the world with different languages and pictures of people
110005,training/memes/110005.jpeg,three women sitting on a bench with a beer in their hand
110006,training/memes/110006.jpeg,a cartoon of a woman in a blue mask and a man in a black hat
110007,training/memes/110007.jpeg,a picture of a picture of jesus sitting on a bench with people
110008,training/memes/110008.jpeg,a cartoon picture of a woman with a pink scarf and a pink purse
110009,training/memes/110009.jpeg,a close up of a godzilla attacking a crab on a beach
110010,training/memes/110010.jpeg,"a collage of the characters of the movie, the avengers and the wonder twins"
110011,training/memes/110011.jpeg,a poster with a woman in a bandana and a brick wall
110012,training/memes/110012.jpeg,a woman in a pink dress is talking to someone in a mirror
110013,training/memes/110013.jpeg,a cartoon of a man with a beard and glasses next to another man with a beard
110014,training/memes/110014.jpeg,there is a skeleton sitting on a bench with a heart in it
110015,training/memes/110015.jpeg,a cartoon of a woman cutting a piece of paper with a knife
110016,training/memes/110016.jpeg,a close up of a group of sheep with purple coats
110017,training/memes/110017.jpeg,a woman laughing while holding a chocolate bar in her hand
110018,training/memes/110018.jpeg,a poster with a picture of a girl and a boy in the background
110019,training/memes/110019.jpeg,arafed woman sitting on a couch with a dog in her lap
110020,training/memes/110020.jpeg,"a cartoon picture of a group of people with the words,'dia de la mujer expect"
110021,training/memes/110021.jpeg,a close up of a person with a cartoon on a poster
110022,training/memes/110022.jpeg,a black and white image of a man with a mustache and a tie
110023,training/memes/110023.jpeg,there is a man holding a camera in front of a building
110024,training/memes/110024.jpeg,arafed image of a man kissing a woman with a caption in spanish
110025,training/memes/110025.jpeg,there are four different types of people with beards and mustaches
110026,training/memes/110026.jpeg,batman the animated movie is being watched on twitter
110027,training/memes/110027.jpeg,a close up of a man with a beard and sunglasses talking to a camera
110028,training/memes/110028.jpeg,a close up of a person on a cell phone with a tweet
110029,training/memes/110029.jpeg,there are two men with their hands in the air and one is holding a sign
110030,training/memes/110030.jpeg,there is a woman holding a sign that says no son una manda son viladores
110031,training/memes/110031.jpeg,a cartoon image of a man with a caption saying when metn 30 anos en la
110032,training/memes/110032.jpeg,a close up of a cell phone with a picture of a man and a woman
110033,training/memes/110033.jpeg,arafed image of a man and woman in a business suit
110034,training/memes/110034.jpeg,a close up of a person sitting in a crowd with a text above it
110035,training/memes/110035.jpeg,a man holding a giant gun with a caption in spanish
110036,training/memes/110036.jpeg,arafed picture of a woman laying on a couch with a cat
110037,training/memes/110037.jpeg,a man in a white jacket and sunglasses is talking on a microphone
110038,training/memes/110038.jpeg,arafed woman in uniform kneeling down to a man in uniform
110039,training/memes/110039.jpeg,a cartoon picture of a group of people in a pool
110040,training/memes/110040.jpeg,arafed image of a man walking through a forest with a arrow pointing up
110041,training/memes/110041.jpeg,there are two pictures of a person holding a piece of food
110042,training/memes/110042.jpeg,a picture of a man with a camera and a woman with a camera
110043,training/memes/110043.jpeg,there is a man smoking a cigarette in a dark room
110044,training/memes/110044.jpeg,a cartoon of a graph with a woman and a man in the middle
110045,training/memes/110045.jpeg,a close up of a person holding a glass of wine in front of a sloth
110046,training/memes/110046.jpeg,a cartoon of a woman pushing a baby carriage with a man in a suit
110047,training/memes/110047.jpeg,a man with a beard and mustache is looking at the camera
110048,training/memes/110048.jpeg,a close up of a person in a suit with a text overlay
110049,training/memes/110049.jpeg,a woman in a scarf and scarf is smiling in the snow
110050,training/memes/110050.jpeg,arafed image of a man and woman talking to each other
110051,training/memes/110051.jpeg,"a woman in a suit waving her hand with a caption saying,'mueres al pod"
110052,training/memes/110052.jpeg,a black and white photo of a woman with glasses on her face
110053,training/memes/110053.jpeg,a picture of a woman in a green dress is falling off her leg
110054,training/memes/110054.jpeg,a cartoon picture of a group of people sitting around a table
110055,training/memes/110055.jpeg,a poster with a picture of a woman with a brain on it
110056,training/memes/110056.jpeg,a close up of a lemur with a hand up in the air
110057,training/memes/110057.jpeg,a tweee with a picture of a rabbit on it and the american flag
110058,training/memes/110058.jpeg,arafed text message from a woman about her car
110059,training/memes/110059.jpeg,a picture of a woman with a speech bubble saying mama cuad termina de cocinar
110060,training/memes/110060.png,cartoon of a man laying in a hammock with a cross in the background
110061,training/memes/110061.jpeg,there is a man with a mustache and a hat on
110062,training/memes/110062.jpeg,arafed man and woman standing in a street with a caption of institucion
110063,training/memes/110063.jpeg,a picture of a cartoon picture of a man and woman with a caption of the simpsons
110064,training/memes/110064.jpeg,a couple of kids that are standing next to each other
110065,training/memes/110065.jpeg,a close up of a person giving a thumbs up in front of a blackboard
110066,training/memes/110066.jpeg,a close up of a cat laying on a bed next to a person
110067,training/memes/110067.jpeg,a cartoon character with a caption saying el macho
110068,training/memes/110068.jpeg,a close up of a person pointing at a person with a microphone
110069,training/memes/110069.jpeg,there are many people dancing in a dance class together
110070,training/memes/110070.jpeg,a close up of a person in a suit and tie with a caption
110071,training/memes/110071.jpeg,batman slapping a woman with a bat in a comic book
110072,training/memes/110072.jpeg,a woman is being held by police officers in a street
110073,training/memes/110073.jpeg,a cartoon picture of a man and a woman with a child
110074,training/memes/110074.jpeg,"cartoon spongebob in a kitchen with a caption that reads,'i'm not"
110075,training/memes/110075.jpeg,a close up of a text message on a computer screen
110076,training/memes/110076.jpeg,two men are looking at their cell phones with a caption of a question
110077,training/memes/110077.jpeg,a cartoon picture of a woman holding a baby and a man holding a plate
110078,training/memes/110078.jpeg,a black and white photo of a man in a suit and tie
110079,training/memes/110079.jpeg,a cartoon image of a man sitting at a table with a bag of food
110080,training/memes/110080.jpeg,arafed woman pointing at a cat with a caption of a woman yelling at a cat
110081,training/memes/110081.jpeg,a picture of a cartoon picture of a woman with red hair and green eyes
110082,training/memes/110082.jpeg,a picture of a cartoon picture of a princess in a bed
110083,training/memes/110083.jpeg,a close up of a person sitting in a chair with a poster
110084,training/memes/110084.jpeg,a cartoon picture of homer and homer playing guitar in a room
110085,training/memes/110085.jpeg,a picture of a spider - man is on the phone with a caption
110086,training/memes/110086.jpeg,a close up of a woman making a face with her mouth open
110087,training/memes/110087.jpeg,a cartoon picture of a boy and girl in masks and a cat
110088,training/memes/110088.png,a close up of a twitter post with a bird on it
110089,training/memes/110089.jpeg,anime memes that are very funny and funny
110090,training/memes/110090.jpeg,there is a cat that is sitting on a table with a caption
110091,training/memes/110091.jpeg,a picture of a stadium with a lot of people in it
110092,training/memes/110092.jpeg,a woman in a skirt and a man in a red hat are cleaning a bathroom
110093,training/memes/110093.jpeg,arafed man wearing a yellow shirt with spanish words on it
110094,training/memes/110094.jpeg,a woman holding her head in her hands with a caption that reads a las muertes
110095,training/memes/110095.jpeg,there is a man in a suit pointing at the camera
110096,training/memes/110096.jpeg,arafed image of a man with a funny expression on his face
110097,training/memes/110097.jpeg,a cartoon picture of a group of people in a bar with a woman in the middle of the
110098,training/memes/110098.jpeg,cartoon of a woman laying on a bed with a man in a bikini
110099,training/memes/110099.jpeg,a picture of a picture of a girl and a guy with a pizza
110100,training/memes/110100.jpeg,"a cartoon image of a guy with a sad face and a caption that says, estamo"
110101,training/memes/110101.jpeg,a picture taken from a car with a caption of a man and woman in a suit
110102,training/memes/110102.png,arafed husky dog with a stuffed animal in its mouth
110103,training/memes/110103.jpeg,a close up of a person in a bed with a picture of a woman
110104,training/memes/110104.jpeg,a close up of a donkey with its mouth open and a picture of a horse
110105,training/memes/110105.jpeg,a close up of a text message with a picture of a woman
110106,training/memes/110106.jpeg,a close up of a person wearing a purple jacket and bow tie
110107,training/memes/110107.jpeg,a close up of a frog with a caption saying yo no soy abusatora yo no
110108,training/memes/110108.jpeg,a poster with a picture of two children hugging each other
110109,training/memes/110109.jpeg,"araffe el esculo y no ses as abudara, con la bat"
110110,training/memes/110110.jpeg,araffes is trying to get a picture of a cat in the mirror
110111,training/memes/110111.jpeg,a black and white photo of a man in a suit and tie
110112,training/memes/110112.jpeg,a cartoon of a man is trying to get a woman to take him out of the bathroom
110113,training/memes/110113.jpeg,cartoon character with a caption saying no patrick no patrick
110114,training/memes/110114.jpeg,a cartoon picture of a man holding a green ring in his hand
110115,training/memes/110115.jpeg,a picture taken from a facebook account shows a man standing next to a car with a penguin on
110116,training/memes/110116.jpeg,a woman with purple hair and a blue shirt is looking at the camera
110117,training/memes/110117.jpeg,a man in a red karate outfit is posing for a picture
110118,training/memes/110118.jpeg,a bunch of cartoon faces are shown in a line drawing style
110119,training/memes/110119.jpeg,a cartoon picture of a woman in a pink shirt and a man in a police uniform
110120,training/memes/110120.jpeg,a woman in a bikini holding a fish and a fish
110121,training/memes/110121.jpeg,newspaper with a picture of a man in a suit and a woman in a dress
110122,training/memes/110122.png,a close up of two women with gray hair and a white shirt
110123,training/memes/110123.jpeg,a cartoon image of a guy with a sad expression on his face
110124,training/memes/110124.jpeg,a close up of a person in a bear suit on a computer screen
110125,training/memes/110125.png,a painting of two men holding hands in front of a painting
110126,training/memes/110126.jpeg,"a cartoon picture of two people with green eyes and a caption that reads, trtar de"
110127,training/memes/110127.jpeg,arafed image of a man in armor sitting in a chair
110128,training/memes/110128.jpeg,a man sitting at a table with a microphone in front of him
110129,training/memes/110129.jpeg,"cartoon of two people in a locker with a sign that says, cuando estas en el"
110130,training/memes/110130.jpeg,a close up of a cartoon bear with a caption of a baby
110131,training/memes/110131.jpeg,there is a picture of a man that is sitting down with his head in his hands
110132,training/memes/110132.jpeg,arafed woman in a purple hat and glasses with a surprised look
110133,training/memes/110133.jpeg,a woman holding her head in her hands and looking at the camera
110134,training/memes/110134.jpeg,arafed image of a man in a green jacket standing next to another man
110135,training/memes/110135.jpeg,there is a man and woman that are cutting a mans hair
110136,training/memes/110136.jpeg,a cartoon picture of a woman holding a gun and a sign
110137,training/memes/110137.jpeg,there is a woman sitting on the floor with her legs crossed
110138,training/memes/110138.jpeg,a man in a hat talking to another man in a room
110139,training/memes/110139.jpeg,arafed image of a woman and a sloth - sloth with a caption that
110140,training/memes/110140.jpeg,a man in a store looking at a shelf with boxes of food
110141,training/memes/110141.png,there are two pictures of a woman and a man looking at their phones
110142,training/memes/110142.jpeg,they are all having fun in the bathroom and having fun with each other
110143,training/memes/110143.png,a cartoon image of a green and red dinosaur wearing a red shirt
110144,training/memes/110144.jpeg,a tweet with a picture of a man and a woman on it
110145,training/memes/110145.jpeg,a close up of a person in a suit with a bird on a wall
110146,training/memes/110146.jpeg,there is a picture of a man's face in the window
110147,training/memes/110147.jpeg,arafed man driving a car with a cop in the back seat
110148,training/memes/110148.jpeg,there are many different types of webpages on the internet
110149,training/memes/110149.jpeg,a cartoon of a woman playing a video game with a man
110150,training/memes/110150.jpeg,cartoon of a couple looking at their cell phones while standing next to each other
110151,training/memes/110151.jpeg,a cartoon drawing of a bunch of different faces with different expressions
110152,training/memes/110152.jpeg,a close up of a sign with a red cross and white doves
110153,training/memes/110153.jpeg,there is a poster with a picture of a man with a beard
110154,training/memes/110154.jpeg,arafed image of a man in a suit and tie speaking in a conference room
110155,training/memes/110155.jpeg,a cartoon picture of a man holding a cell phone with a picture of a man screaming
110156,training/memes/110156.jpeg,a cartoon picture of two people with different expressions and a caption
110157,training/memes/110157.jpeg,arafed man sitting on a train with his luggage
110158,training/memes/110158.jpeg,"a cartoon picture of a bunch of people with a caption saying, sel toesta"
110159,training/memes/110159.jpeg,a cartoon picture of a woman with a goofy face and a man with a goofy face
110160,training/memes/110160.jpeg,arafed dog sitting on the floor with a sign in front of it
110161,training/memes/110161.png,a close up of a person with a pair of sunglasses on
110162,training/memes/110162.jpeg,a close up of a person hugging a person on a cell phone
110163,training/memes/110163.jpeg,a close up of a person on a cell phone with a text message
110164,training/memes/110164.jpeg,a close up of a text message with a picture of a person
110165,training/memes/110165.jpeg,a close up of a person walking on a road near a wind turbine
110166,training/memes/110166.jpeg,a cartoon of a woman talking on a cell phone next to a thing
110167,training/memes/110167.jpeg,a cartoon of a boy and girl talking to each other
110168,training/memes/110168.jpeg,two pictures of a man with a fake picture of himself
110169,training/memes/110169.jpeg,arafed man and woman in a car wearing masks
110170,training/memes/110170.jpeg,"a painting of a man and woman in formal clothing, one holding a baby"
110171,training/memes/110171.jpeg,a couple of pictures of a man and a woman with a cell phone
110172,training/memes/110172.jpeg,a close up of two men with different facial expressions
110173,training/memes/110173.jpeg,a close up of a poster with a person standing next to a car
110174,training/memes/110174.jpeg,a couple of pictures of a man and a woman with a cell phone
110175,training/memes/110175.jpeg,a cartoon of a man and woman talking on a cell phone
110176,training/memes/110176.png,there are two pictures of a dog and a man with a big body
110177,training/memes/110177.jpeg,a woman in a yellow dress holding a gun and a flag
110178,training/memes/110178.jpeg,two pictures of a car with a man driving in it
110179,training/memes/110179.jpeg,arafed image of a man and a woman in shorts and a man in a black shirt
110180,training/memes/110180.png,there is a man that is looking at a alien face
110181,training/memes/110181.png,yellow volkswagen beetles parked in a parking lot with a woman standing next to them
110182,training/memes/110182.jpeg,there are two pictures of a man with colorful hair and a man with a beard
110183,training/memes/110183.jpeg,a cartoon character is talking to another character on a twitter account
110184,training/memes/110184.jpeg,arafed man with blue paint giving thumbs up in front of a white background
110185,training/memes/110185.png,arafed stormtrooper sitting at a table with a cell phone in his hand
110186,training/memes/110186.jpeg,a screenshot of a woman on a stage with a microphone and a microphone
110187,training/memes/110187.jpeg,a close up of a stuffed monkey with a sign on it
110188,training/memes/110188.png,arafed dog with a baseball bat and a bag of dough
110189,training/memes/110189.png,there is a man that is looking at something in the mirror
110190,training/memes/110190.jpeg,two cars are shown with the words'eres my india'and'halogo '
110191,training/memes/110191.png,a close up of a cartoon character with a banana on a sticker
110192,training/memes/110192.jpeg,a poster with a bunch of different pictures of people in different poses
110193,training/memes/110193.jpeg,a cartoon picture of a man with a pink shirt and a woman with a pink shirt
110194,training/memes/110194.jpeg,a close up of a person with a face that has a caption on it
110195,training/memes/110195.jpeg,a cartoon of a group of people walking down a street
110196,training/memes/110196.jpeg,"arafy, memes, and blog a man is sitting at a table with a plate"
110197,training/memes/110197.jpeg,a picture of a picture of a person with a light on
110198,training/memes/110198.jpeg,a close up of a lemur with a hand up in the air
110199,training/memes/110199.jpeg,anime meme of a guy and a girl talking to each other
110200,training/memes/110200.jpeg,a woman in a yellow dress holding a gun and a flag
110201,training/memes/110201.jpeg,"a sponge sponge with a knife in his hand and a caption that says, a los ho"
110202,training/memes/110202.jpeg,a woman is drinking a glass of beer in front of a map
110203,training/memes/110203.jpeg,a man with a beard and a mustache is looking at the camera
